datetime,city,station,pollutant,pollution_value,date,year,month
2012-03-16 12:30:00,Dublin,Trailer 1,NO,13.6,2012-03-16,2012,3
2011-12-17 18:45:00,Dublin,Trailer 1,CO,0.4,2011-12-17,2011,12
2012-03-28 07:45:00,Dublin,Trailer 3,CO,0.3,2012-03-28,2012,3
2012-03-08 23:00:00,Dublin,Swords NOX,NO,0.4,2012-03-08,2012,3
2012-03-16 02:15:00,Dublin,Trailer 1,CO,0.2,2012-03-16,2012,3
2011-12-30 09:30:00,Dublin,Trailer 1,NO,1.7,2011-12-30,2011,12
2011-12-18 08:15:00,Dublin,Trailer 1,CO,0.3,2011-12-18,2011,12
2012-03-23 18:00:00,Dublin,Rathmines,O3,23.8,2012-03-23,2012,3
2011-12-03 20:30:00,Dublin,Swords O3,O3,29.1,2011-12-03,2011,12
2012-02-16 12:30:00,Dublin,Swords NOX,NO,6.6,2012-02-16,2012,2
2012-04-16 21:30:00,Dublin,Trailer 1,NO2,1.8,2012-04-16,2012,4
2012-03-26 14:45:00,Dublin,Rathmines,NO2,15.2,2012-03-26,2012,3
2012-02-16 01:45:00,Dublin,Trailer 3,NO2,5.4,2012-02-16,2012,2
2011-12-25 05:15:00,Dublin,Trailer 3,NO2,0.3,2011-12-25,2011,12
2012-03-09 13:45:00,Dublin,Rathmines,NO,3.1,2012-03-09,2012,3
2011-12-10 20:45:00,Dublin,Rathmines,NO2,6.8,2011-12-10,2011,12
2012-02-18 19:15:00,Dublin,Swords O3,O3,35.3,2012-02-18,2012,2
2011-12-30 05:15:00,Dublin,Rathmines,NO2,2.3,2011-12-30,2011,12
2012-02-24 17:30:00,Dublin,Rathmines,NO2,13.7,2012-02-24,2012,2
2012-02-24 20:15:00,Dublin,Trailer 1,NO,0.5,2012-02-24,2012,2
2012-04-07 21:30:00,Dublin,Swords O3,O3,32.7,2012-04-07,2012,4
2012-02-20 17:15:00,Dublin,Rathmines,O3,28.6,2012-02-20,2012,2
2012-04-01 20:15:00,Dublin,Rathmines,NO2,19.3,2012-04-01,2012,4
2011-12-19 17:30:00,Dublin,Trailer 1,NO2,3.9,2011-12-19,2011,12
2012-02-09 18:45:00,Dublin,Rathmines,NO2,22.3,2012-02-09,2012,2
2012-03-17 16:45:00,Dublin,Rathmines,O3,34.6,2012-03-17,2012,3
2012-02-16 07:00:00,Dublin,Swords NOX,NO2,3.1,2012-02-16,2012,2
2012-02-28 15:15:00,Dublin,Trailer 3,CO,0.4,2012-02-28,2012,2
2012-03-20 23:00:00,Dublin,Rathmines,NO,0.6,2012-03-20,2012,3
2012-02-14 21:45:00,Dublin,Swords NOX,NO2,1.5,2012-02-14,2012,2
2011-12-24 00:15:00,Dublin,Swords NOX,NO,1.2,2011-12-24,2011,12
2012-01-04 16:00:00,Dublin,Rathmines,NO,2.0,2012-01-04,2012,1
2011-12-24 06:45:00,Dublin,Swords NOX,NO,1.4,2011-12-24,2011,12
2012-03-28 22:15:00,Dublin,Trailer 1,CO,0.4,2012-03-28,2012,3
2012-02-05 15:45:00,Dublin,Trailer 1,NO,0.9,2012-02-05,2012,2
2011-12-13 12:15:00,Dublin,Rathmines,NO,2.2,2011-12-13,2011,12
2012-02-11 05:45:00,Dublin,Trailer 3,NO2,3.2,2012-02-11,2012,2
2012-02-04 17:15:00,Dublin,Swords O3,O3,29.6,2012-02-04,2012,2
2012-02-09 07:30:00,Dublin,Trailer 3,NO2,34.5,2012-02-09,2012,2
2012-04-13 18:15:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.3,2012-04-13,2012,4
2011-12-23 18:00:00,Dublin,Rathmines,NO2,11.5,2011-12-23,2011,12
2012-04-11 01:30:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.4,2012-04-11,2012,4
2012-02-09 13:30:00,Dublin,Trailer 1,NO,1.7,2012-02-09,2012,2
2012-02-26 13:15:00,Dublin,Rathmines,NO,2.1,2012-02-26,2012,2
2011-12-31 22:15:00,Dublin,Swords O3,O3,30.0,2011-12-31,2011,12
2011-12-17 07:00:00,Dublin,Clonskeagh,O3,27.129,2011-12-17,2011,12
2012-04-16 20:45:00,Dublin,Trailer 3,NO,0.3,2012-04-16,2012,4
2012-02-05 10:30:00,Dublin,Trailer 3,NO,2.1,2012-02-05,2012,2
2012-04-06 23:30:00,Dublin,Swords O3,O3,36.4,2012-04-06,2012,4
2012-03-03 02:15:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.2,2012-03-03,2012,3
2012-03-16 04:45:00,Dublin,Rathmines,O3,33.9,2012-03-16,2012,3
2011-12-10 04:00:00,Dublin,Trailer 1,CO,0.3,2011-12-10,2011,12
2011-12-22 05:00:00,Dublin,Rathmines,NO2,1.2,2011-12-22,2011,12
2012-04-17 12:15:00,Dublin,Trailer 3,CO,0.3,2012-04-17,2012,4
2012-04-14 13:15:00,Dublin,Trailer 1,CO,0.3,2012-04-14,2012,4
2012-01-04 22:30:00,Dublin,Swords NOX,NO,1.3,2012-01-04,2012,1
2012-02-08 08:30:00,Dublin,Swords NOX,NO2,23.0,2012-02-08,2012,2
2012-02-07 22:00:00,Dublin,Trailer 3,CO,0.8,2012-02-07,2012,2
2012-03-19 13:00:00,Dublin,Swords NOX,NO2,3.1,2012-03-19,2012,3
2011-12-22 15:30:00,Dublin,Trailer 3,NO2,7.0,2011-12-22,2011,12
2012-04-05 03:30:00,Dublin,Swords NOX,NO2,2.0,2012-04-05,2012,4
2012-02-18 22:30:00,Dublin,Swords O3,O3,36.4,2012-02-18,2012,2
2012-03-18 14:30:00,Dublin,Rathmines,NO2,4.2,2012-03-18,2012,3
2012-02-09 04:45:00,Dublin,Swords NOX,NO,0.6,2012-02-09,2012,2
2012-02-07 09:30:00,Dublin,Rathmines,O3,3.7,2012-02-07,2012,2
2012-04-04 11:00:00,Dublin,Trailer 3,CO,0.3,2012-04-04,2012,4
2012-02-26 10:15:00,Dublin,Swords NOX,NO,0.5,2012-02-26,2012,2
2012-02-21 16:30:00,Dublin,Rathmines,O3,29.7,2012-02-21,2012,2
2012-03-20 07:45:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.2,2012-03-20,2012,3
2011-12-16 07:45:00,Dublin,Rathmines,O3,18.2,2011-12-16,2011,12
2012-03-03 04:00:00,Dublin,Rathmines,O3,18.8,2012-03-03,2012,3
2012-04-12 04:15:00,Dublin,Trailer 1,NO,0.2,2012-04-12,2012,4
2012-03-05 19:30:00,Dublin,Trailer 1,NO2,12.3,2012-03-05,2012,3
2012-03-15 23:00:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.3,2012-03-15,2012,3
2011-12-24 20:30:00,Dublin,Trailer 1,CO,0.1,2011-12-24,2011,12
2011-12-15 13:45:00,Dublin,Trailer 1,CO,0.3,2011-12-15,2011,12
2012-04-04 20:45:00,Dublin,Trailer 3,NO,0.7,2012-04-04,2012,4
2011-12-26 10:30:00,Dublin,Trailer 1,NO2,1.6,2011-12-26,2011,12
2011-12-08 19:30:00,Dublin,Trailer 1,NO,0.2,2011-12-08,2011,12
2012-03-09 20:30:00,Dublin,Trailer 1,NO,1.2,2012-03-09,2012,3
2011-12-28 13:15:00,Dublin,Swords NOX,NO2,2.0,2011-12-28,2011,12
2011-12-30 04:30:00,Dublin,Trailer 3,NO,0.2,2011-12-30,2011,12
2012-03-31 13:00:00,Dublin,Trailer 1,CO,0.2,2012-03-31,2012,3
2012-01-04 09:30:00,Dublin,Swords O3,O3,26.8,2012-01-04,2012,1
2012-02-29 18:45:00,Dublin,Trailer 3,CO,0.3,2012-02-29,2012,2
2012-01-01 15:45:00,Dublin,Trailer 1,NO2,3.4,2012-01-01,2012,1
2012-04-05 14:15:00,Dublin,Trailer 1,NO2,5.0,2012-04-05,2012,4
2011-12-22 07:45:00,Dublin,Trailer 1,CO,0.3,2011-12-22,2011,12
2012-03-14 08:45:00,Dublin,Trailer 3,NO,60.7,2012-03-14,2012,3
2012-03-11 00:30:00,Dublin,Trailer 1,NO2,4.8,2012-03-11,2012,3
2012-03-14 08:15:00,Dublin,Swords NOX,NO2,47.0,2012-03-14,2012,3
2012-02-17 16:45:00,Dublin,Trailer 1,CO,0.1,2012-02-17,2012,2
2012-01-01 02:30:00,Dublin,Trailer 3,NO,0.1,2012-01-01,2012,1
2012-03-21 20:30:00,Dublin,Rathmines,NO,1.9,2012-03-21,2012,3
2012-04-02 09:15:00,Dublin,Trailer 3,NO,0.9,2012-04-02,2012,4
2012-03-20 05:15:00,Dublin,Trailer 3,NO2,6.6,2012-03-20,2012,3
2011-12-13 04:30:00,Dublin,Trailer 1,CO,0.1,2011-12-13,2011,12
2012-02-13 17:15:00,Dublin,Swords NOX,NO,0.9,2012-02-13,2012,2
2012-03-09 14:00:00,Dublin,Trailer 1,NO,3.0,2012-03-09,2012,3
2012-03-07 12:30:00,Dublin,Rathmines,NO2,3.9,2012-03-07,2012,3
2012-03-16 22:30:00,Dublin,Rathmines,O3,19.3,2012-03-16,2012,3
2012-03-27 10:15:00,Dublin,Trailer 3,NO2,4.7,2012-03-27,2012,3
2011-12-09 23:30:00,Dublin,Trailer 3,NO,0.7,2011-12-09,2011,12
2012-03-19 05:00:00,Dublin,Swords NOX,NO2,2.6,2012-03-19,2012,3
2012-03-05 15:00:00,Dublin,Rathmines,O3,32.5,2012-03-05,2012,3
2012-02-06 16:30:00,Dublin,Rathmines,NO2,20.6,2012-02-06,2012,2
2012-03-15 13:00:00,Dublin,Trailer 1,CO,0.3,2012-03-15,2012,3
2012-04-09 16:00:00,Dublin,Trailer 3,NO,0.5,2012-04-09,2012,4
2012-04-10 07:45:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.4,2012-04-10,2012,4
2012-04-16 14:30:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.3,2012-04-16,2012,4
2012-03-04 08:15:00,Dublin,Swords NOX,NO2,1.8,2012-03-04,2012,3
2012-03-24 01:00:00,Dublin,Rathmines,NO2,15.8,2012-03-24,2012,3
2012-04-06 13:45:00,Dublin,Rathmines,NO,1.6,2012-04-06,2012,4
2012-04-14 22:30:00,Dublin,Trailer 3,NO,0.8,2012-04-14,2012,4
2012-04-11 22:45:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.3,2012-04-11,2012,4
2012-04-06 18:15:00,Dublin,Rathmines,O3,32.5,2012-04-06,2012,4
2012-03-30 00:15:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.3,2012-03-30,2012,3
2011-12-14 12:45:00,Dublin,Trailer 3,NO,23.0,2011-12-14,2011,12
2011-12-28 05:45:00,Dublin,Rathmines,NO2,1.2,2011-12-28,2011,12
2011-12-23 01:00:00,Dublin,Rathmines,O3,34.6,2011-12-23,2011,12
2012-03-20 13:15:00,Dublin,Swords NOX,NO2,6.9,2012-03-20,2012,3
2012-03-05 19:30:00,Dublin,Trailer 1,CO,0.3,2012-03-05,2012,3
2012-02-29 13:15:00,Dublin,Rathmines,NO2,7.6,2012-02-29,2012,2
2012-04-16 02:00:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.4,2012-04-16,2012,4
2012-01-01 15:30:00,Dublin,Trailer 3,NO,0.5,2012-01-01,2012,1
2011-12-08 15:45:00,Dublin,Rathmines,NO,2.2,2011-12-08,2011,12
2011-12-27 14:00:00,Dublin,Trailer 3,CO,0.5,2011-12-27,2011,12
2012-03-09 03:30:00,Dublin,Trailer 3,CO,0.1,2012-03-09,2012,3
2012-03-16 22:00:00,Dublin,Trailer 1,NO2,24.7,2012-03-16,2012,3
2011-12-22 18:00:00,Dublin,Trailer 3,NO,4.6,2011-12-22,2011,12
2012-03-06 17:00:00,Dublin,Swords O3,O3,34.3,2012-03-06,2012,3
2012-03-08 09:30:00,Dublin,Trailer 3,CO,0.5,2012-03-08,2012,3
2012-02-19 20:30:00,Dublin,Swords O3,O3,4.1,2012-02-19,2012,2
2012-04-01 17:00:00,Dublin,Swords O3,O3,36.5,2012-04-01,2012,4
2012-04-16 20:45:00,Dublin,Swords NOX,NO2,8.4,2012-04-16,2012,4
2012-03-14 07:45:00,Dublin,Swords NOX,NO,21.9,2012-03-14,2012,3
2012-03-12 23:30:00,Dublin,Trailer 3,NO2,6.4,2012-03-12,2012,3
2012-04-13 03:15:00,Dublin,Trailer 1,NO2,3.6,2012-04-13,2012,4
2011-12-14 01:15:00,Dublin,Trailer 1,NO2,1.8,2011-12-14,2011,12
2012-03-10 10:45:00,Dublin,Trailer 3,CO,0.1,2012-03-10,2012,3
2012-02-17 04:30:00,Dublin,Rathmines,NO2,1.7,2012-02-17,2012,2
2011-12-06 19:30:00,Dublin,Trailer 1,CO,0.2,2011-12-06,2011,12
2011-12-18 06:00:00,Dublin,Rathmines,NO2,3.2,2011-12-18,2011,12
2012-01-03 04:00:00,Dublin,Rathmines,O3,33.9,2012-01-03,2012,1
2011-12-26 02:45:00,Dublin,Swords NOX,NO,1.0,2011-12-26,2011,12
2011-12-30 17:15:00,Dublin,Trailer 3,NO,171.0,2011-12-30,2011,12
2012-03-07 10:45:00,Dublin,Rathmines,O3,35.4,2012-03-07,2012,3
2012-02-14 11:00:00,Dublin,Trailer 3,CO,0.7,2012-02-14,2012,2
2011-12-07 11:45:00,Dublin,Rathmines,NO2,9.1,2011-12-07,2011,12
2012-02-22 01:45:00,Dublin,Trailer 1,NO2,0.9,2012-02-22,2012,2
2012-03-08 15:30:00,Dublin,Trailer 3,NO,1.8,2012-03-08,2012,3
2012-03-25 15:15:00,Dublin,Swords O3,O3,49.1,2012-03-25,2012,3
2011-12-20 23:30:00,Dublin,Trailer 3,NO2,7.5,2011-12-20,2011,12
2012-04-15 23:00:00,Dublin,Rathmines,NO,15.1,2012-04-15,2012,4
2012-04-05 11:00:00,Dublin,Rathmines,NO,8.4,2012-04-05,2012,4
2011-12-10 20:30:00,Dublin,Trailer 3,NO,1.0,2011-12-10,2011,12
2012-02-06 16:00:00,Dublin,Trailer 1,NO2,4.2,2012-02-06,2012,2
2012-03-08 10:15:00,Dublin,Trailer 3,NO,2.1,2012-03-08,2012,3
2012-02-12 12:15:00,Dublin,Rathmines,NO,1.2,2012-02-12,2012,2
2012-04-01 16:00:00,Limerick,Kilkenny (formerly Limerick rd),CO,0.3,2012-04-01,2012,4
2012-04-04 08:45:00,Dublin,Swords NOX,NO2,4.2,2012-04-04,2012,4
2012-03-19 14:15:00,Dublin,Swords O3,O3,43.7,2012-03-19,2012,3
2012-02-25 11:30:00,Dublin,Swords NOX,NO,0.6,2012-02-25,2012,2
2012-01-04 06:00:00,Dublin,Trailer 1,NO,1.0,2012-01-04,2012,1
2012-03-02 07:30:00,Dublin,Swords O3,O3,19.9,2012-03-02,2012,3
2012-02-11 20:30:00,Dublin,Swords O3,O3,3.4,2012-02-11,2012,2
2012-02-22 03:45:00,Dublin,Swords O3,O3,39.2,2012-02-22,2012,2
2012-03-27 10:30:00,Dublin,Rathmines,NO2,22.0,2012-03-27,2012,3
2012-03-29 13:30:00,Dublin,Trailer 3,NO,0.7,2012-03-29,2012,3
2011-12-24 14:45:00,Dublin,Trailer 3,CO,0.5,2011-12-24,2011,12
2012-04-09 12:45:00,Dublin,Rathmines,NO,1.5,2012-04-09,2012,4
2012-03-17 17:15:00,Dublin,Rathmines,O3,29.6,2012-03-17,2012,3
2012-04-06 15:00:00,Dublin,Trailer 3,NO,0.6,2012-04-06,2012,4
2011-12-08 10:30:00,Dublin,Trailer 1,NO,0.6,2011-12-08,2011,12
2012-03-31 18:00:00,Dublin,Swords NOX,NO2,5.6,2012-03-31,2012,3
2012-02-06 16:30:00,Dublin,Trailer 3,CO,0.5,2012-02-06,2012,2
2012-02-21 11:00:00,Dublin,Swords O3,O3,33.7,2012-02-21,2012,2
2012-02-08 13:45:00,Dublin,Trailer 3,CO,0.8,2012-02-08,2012,2
2011-12-01 05:45:00,Dublin,Trailer 3,CO,1.0,2011-12-01,2011,12
2012-04-14 22:30:00,Dublin,Trailer 3,CO,0.2,2012-04-14,2012,4
2012-03-05 22:15:00,Dublin,Swords NOX,NO2,24.9,2012-03-05,2012,3
2011-12-27 17:30:00,Dublin,Rathmines,NO2,4.9,2011-12-27,2011,12
2012-03-12 14:15:00,Dublin,Trailer 1,CO,0.2,2012-03-12,2012,3
2011-12-05 10:15:00,Dublin,Trailer 3,NO,3.7,2011-12-05,2011,12
2012-02-07 15:45:00,Dublin,Trailer 3,CO,0.8,2012-02-07,2012,2
2012-03-15 15:30:00,Dublin,Swords O3,O3,23.9,2012-03-15,2012,3
2012-04-11 03:30:00,Dublin,Trailer 1,NO2,4.6,2012-04-11,2012,4
2012-04-17 06:45:00,Dublin,Trailer 1,CO,0.3,2012-04-17,2012,4
2012-03-25 05:30:00,Dublin,Trailer 1,NO,0.1,2012-03-25,2012,3
2012-02-29 19:00:00,Dublin,Clonskeagh,O3,19.448,2012-02-29,2012,2
2012-03-19 06:00:00,Dublin,Rathmines,NO,0.1,2012-03-19,2012,3
2012-02-04 11:00:00,Dublin,Rathmines,NO,0.9,2012-02-04,2012,2
2012-04-16 22:15:00,Dublin,Trailer 3,CO,0.2,2012-04-16,2012,4
2012-03-18 02:45:00,Dublin,Trailer 3,NO2,5.6,2012-03-18,2012,3
2012-02-11 20:45:00,Dublin,Swords NOX,NO2,23.5,2012-02-11,2012,2
2012-03-21 03:30:00,Dublin,Trailer 3,NO2,5.1,2012-03-21,2012,3
2012-02-09 07:30:00,Dublin,Rathmines,NO2,33.4,2012-02-09,2012,2
2012-03-15 18:30:00,Dublin,Rathmines,NO2,33.9,2012-03-15,2012,3
2012-01-02 04:15:00,Dublin,Rathmines,NO,1.3,2012-01-02,2012,1
2012-02-05 21:15:00,Dublin,Swords O3,O3,12.9,2012-02-05,2012,2
